precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
webb:122,3,8,966,0,34,1004,0.30%,0.80%,96.22%,0.00%,3.39%
webb:124,13,24,3934,0,54,4009,0.32%,0.60%,98.13%,0.00%,1.35%
webb:125,11,9,1623,0,14,1657,0.66%,0.54%,97.95%,0.00%,0.84%
webb:164,4,19,2406,0,60,2484,0.16%,0.76%,96.86%,0.00%,2.42%
webb:215,5,16,3246,3,100,3370,0.15%,0.47%,96.32%,0.09%,2.97%
webb:218,22,22,4163,0,103,4304,0.51%,0.51%,96.72%,0.00%,2.39%
webb:219,95,21,2971,0,118,3193,2.98%,0.66%,93.05%,0.00%,3.70%
webb:220,15,7,2756,3,91,2872,0.52%,0.24%,95.96%,0.10%,3.17%
webb:221,5,8,1520,4,96,1633,0.31%,0.49%,93.08%,0.24%,5.88%
webb:226,10,14,1913,0,71,2005,0.50%,0.70%,95.41%,0.00%,3.54%
webb:231,32,19,6456,10,222,6739,0.47%,0.28%,95.80%,0.15%,3.29%
webb:239,221,137,10367,11,479,11215,1.97%,1.22%,92.44%,0.10%,4.27%
webb:252,16,28,7145,0,146,7323,0.22%,0.38%,97.57%,0.00%,1.99%
webb:255,96,117,3707,0,221,4122,2.33%,2.84%,89.93%,0.00%,5.36%
webb:266,24,41,4683,0,164,4904,0.49%,0.84%,95.49%,0.00%,3.34%
webb:308,20,11,1608,0,74,1711,1.17%,0.64%,93.98%,0.00%,4.32%
webb:309,24,32,4549,0,174,4766,0.50%,0.67%,95.45%,0.00%,3.65%
webb:310,3,5,630,0,13,648,0.46%,0.77%,97.22%,0.00%,2.01%
webb:311,7,19,2934,0,82,3031,0.23%,0.63%,96.80%,0.00%,2.71%
webb:312,6,17,2473,10,38,2544,0.24%,0.67%,97.21%,0.39%,1.49%
webb:340,60,20,2901,0,246,3220,1.86%,0.62%,90.09%,0.00%,7.64%
webb:341,39,14,2097,0,142,2287,1.71%,0.61%,91.69%,0.00%,6.21%
webb:342,60,35,3867,7,220,4189,1.43%,0.84%,92.31%,0.17%,5.25%
webb:343,17,15,3242,22,177,3473,0.49%,0.43%,93.35%,0.63%,5.10%
webb:344,191,66,7986,0,530,8743,2.18%,0.75%,91.34%,0.00%,6.06%
webb:345,28,15,2721,9,137,2910,0.96%,0.52%,93.51%,0.31%,4.71%
webb:349,147,64,5887,0,363,6439,2.28%,0.99%,91.43%,0.00%,5.64%
webb:351,18,4,1446,0,216,1680,1.07%,0.24%,86.07%,0.00%,12.86%
webb:356,114,74,8147,0,451,8754,1.30%,0.85%,93.07%,0.00%,5.15%
webb:359,80,70,6704,0,309,7156,1.12%,0.98%,93.68%,0.00%,4.32%
webb:360,2,8,1258,0,38,1303,0.15%,0.61%,96.55%,0.00%,2.92%
webb:361,19,23,3335,0,98,3473,0.55%,0.66%,96.03%,0.00%,2.82%
webb:362,2,6,921,0,30,957,0.21%,0.63%,96.24%,0.00%,3.13%
webb:363,1,4,1834,5,45,1889,0.05%,0.21%,97.09%,0.26%,2.38%
webb:401,8,40,2883,20,185,3136,0.26%,1.28%,91.93%,0.64%,5.90%
webb:402,12,10,3218,0,70,3303,0.36%,0.30%,97.43%,0.00%,2.12%
webb:403,3,7,2326,2,48,2386,0.13%,0.29%,97.49%,0.08%,2.01%
webb:404,2,9,3673,0,61,3737,0.05%,0.24%,98.29%,0.00%,1.63%
webb:405,0,6,3679,8,40,3733,0.00%,0.16%,98.55%,0.21%,1.07%
webb:406,5,7,1908,10,44,1974,0.25%,0.35%,96.66%,0.51%,2.23%
webb:407,6,1,1244,10,23,1284,0.47%,0.08%,96.88%,0.78%,1.79%
webb:413,7,25,4210,0,79,4316,0.16%,0.58%,97.54%,0.00%,1.83%
webb:414,4,4,2824,1,48,2881,0.14%,0.14%,98.02%,0.03%,1.67%
webb:417,5,5,1387,0,48,1441,0.35%,0.35%,96.25%,0.00%,3.33%
webb:446,30,17,6373,0,204,6622,0.45%,0.26%,96.24%,0.00%,3.08%
webb:447,22,37,7476,15,435,7985,0.28%,0.46%,93.63%,0.19%,5.45%
webb:448,3,9,827,0,37,871,0.34%,1.03%,94.95%,0.00%,4.25%
webb:453,0,1,1108,0,22,1131,0.00%,0.09%,97.97%,0.00%,1.95%
webb:458,51,55,7874,1,244,8225,0.62%,0.67%,95.73%,0.01%,2.97%
webb:465,8,3,1668,0,22,1696,0.47%,0.18%,98.35%,0.00%,1.30%
