precinct,registered,ballots_cast,blank
el-paso:127,510,101,0
el-paso:156,1950,473,0
el-paso:157,524,131,0
el-paso:164,3814,947,0
el-paso:165,4300,879,1
el-paso:166,3490,915,0
el-paso:167,4170,872,1
el-paso:168,386,74,0
el-paso:169,3225,555,0
el-paso:170,3486,1073,0
el-paso:171,2636,591,1
el-paso:172,4050,1141,0
el-paso:173,1603,356,0
el-paso:174,44,13,0
el-paso:183,0,0,0
el-paso:194,3279,1002,0
el-paso:195,4410,1126,0
el-paso:206,839,168,0
el-paso:207,2090,467,0
el-paso:208,2040,303,0
el-paso:214,13,0,0
el-paso:221,153,3,0
el-paso:43,2337,1062,1
el-paso:86,319,5,0
reeves:10,,390,2
reeves:11,,197,1
reeves:2,,428,6
reeves:3,,385,1
reeves:4,,17,0
reeves:5,,159,0
reeves:6,,31,0
reeves:7,,500,2
reeves:8,,154,1
