precinct,registered,ballots_cast,blank
brown:101,,1753,
brown:105,,1190,
brown:109,,228,
brown:113,,1322,
brown:202,,772,
brown:204,,772,
brown:212,,631,
brown:214,,555,
brown:215,,209,
brown:303,,802,
brown:306,,1361,
brown:307,,548,
brown:308,,474,
brown:316,,206,
brown:318,,1246,
brown:410,,1763,
brown:411,,728,
brown:417,,1500,
mills:1,,698,
mills:11,,131,
mills:2,,333,
mills:4,,251,
mills:6,,209,
mills:8,,427,
mills:9,,463,
san-saba:1,936,,
san-saba:2A,673,,
san-saba:2B,289,,
san-saba:3A,569,,
san-saba:3B,389,,
san-saba:4A,791,,
san-saba:4B,122,,
shackelford:101,536,377,
shackelford:202,609,457,
shackelford:303,,105,
shackelford:307,286,210,
shackelford:404,,3,
shackelford:405,249,172,
shackelford:406,286,193,
young:10,454,,
young:16,269,,
young:20,246,,
young:22,3235,,
young:23,2171,,
young:24,2012,,
young:5,2947,,
young:6,209,,
young:7,167,,
