precinct,party,candidate,votes
hidalgo:1,DEM,Gisela D. Triana,228
hidalgo:1,LIB,Tom Oxford,13
hidalgo:1,REP,Brett Busby,114
hidalgo:110,DEM,Gisela D. Triana,395
hidalgo:110,LIB,Tom Oxford,17
hidalgo:110,REP,Brett Busby,175
hidalgo:111,DEM,Gisela D. Triana,779
hidalgo:111,LIB,Tom Oxford,26
hidalgo:111,REP,Brett Busby,538
hidalgo:112,DEM,Gisela D. Triana,568
hidalgo:112,LIB,Tom Oxford,20
hidalgo:112,REP,Brett Busby,193
hidalgo:113,DEM,Gisela D. Triana,1312
hidalgo:113,LIB,Tom Oxford,51
hidalgo:113,REP,Brett Busby,871
hidalgo:114,DEM,Gisela D. Triana,1180
hidalgo:114,LIB,Tom Oxford,49
hidalgo:114,REP,Brett Busby,1055
hidalgo:116,DEM,Gisela D. Triana,681
hidalgo:116,LIB,Tom Oxford,36
hidalgo:116,REP,Brett Busby,371
hidalgo:117,DEM,Gisela D. Triana,1450
hidalgo:117,LIB,Tom Oxford,57
hidalgo:117,REP,Brett Busby,710
hidalgo:118,DEM,Gisela D. Triana,731
hidalgo:118,LIB,Tom Oxford,29
hidalgo:118,REP,Brett Busby,417
hidalgo:119,DEM,Gisela D. Triana,440
hidalgo:119,LIB,Tom Oxford,11
hidalgo:119,REP,Brett Busby,156
hidalgo:120,DEM,Gisela D. Triana,702
hidalgo:120,LIB,Tom Oxford,43
hidalgo:120,REP,Brett Busby,333
hidalgo:121,DEM,Gisela D. Triana,64
hidalgo:121,LIB,Tom Oxford,1
hidalgo:121,REP,Brett Busby,23
hidalgo:123,DEM,Gisela D. Triana,338
hidalgo:123,LIB,Tom Oxford,13
hidalgo:123,REP,Brett Busby,181
hidalgo:126,DEM,Gisela D. Triana,523
hidalgo:126,LIB,Tom Oxford,24
hidalgo:126,REP,Brett Busby,348
hidalgo:127,DEM,Gisela D. Triana,355
hidalgo:127,LIB,Tom Oxford,13
hidalgo:127,REP,Brett Busby,146
hidalgo:130,DEM,Gisela D. Triana,371
hidalgo:130,LIB,Tom Oxford,10
hidalgo:130,REP,Brett Busby,295
hidalgo:132,DEM,Gisela D. Triana,317
hidalgo:132,LIB,Tom Oxford,9
hidalgo:132,REP,Brett Busby,128
hidalgo:140,DEM,Gisela D. Triana,5
hidalgo:140,LIB,Tom Oxford,0
hidalgo:140,REP,Brett Busby,1
hidalgo:142,DEM,Gisela D. Triana,9
hidalgo:142,LIB,Tom Oxford,0
hidalgo:142,REP,Brett Busby,7
hidalgo:143,DEM,Gisela D. Triana,1
hidalgo:143,LIB,Tom Oxford,0
hidalgo:143,REP,Brett Busby,0
hidalgo:144,DEM,Gisela D. Triana,15
hidalgo:144,LIB,Tom Oxford,1
hidalgo:144,REP,Brett Busby,6
hidalgo:155,DEM,Gisela D. Triana,206
hidalgo:155,LIB,Tom Oxford,7
hidalgo:155,REP,Brett Busby,105
hidalgo:156,DEM,Gisela D. Triana,666
hidalgo:156,LIB,Tom Oxford,24
hidalgo:156,REP,Brett Busby,273
hidalgo:157,DEM,Gisela D. Triana,412
hidalgo:157,LIB,Tom Oxford,20
hidalgo:157,REP,Brett Busby,215
hidalgo:158,DEM,Gisela D. Triana,1187
hidalgo:158,LIB,Tom Oxford,73
hidalgo:158,REP,Brett Busby,711
hidalgo:159,DEM,Gisela D. Triana,198
hidalgo:159,LIB,Tom Oxford,4
hidalgo:159,REP,Brett Busby,67
hidalgo:16,DEM,Gisela D. Triana,859
hidalgo:16,LIB,Tom Oxford,10
hidalgo:16,REP,Brett Busby,208
hidalgo:160,DEM,Gisela D. Triana,128
hidalgo:160,LIB,Tom Oxford,3
hidalgo:160,REP,Brett Busby,106
hidalgo:169,DEM,Gisela D. Triana,140
hidalgo:169,LIB,Tom Oxford,7
hidalgo:169,REP,Brett Busby,88
hidalgo:17,DEM,Gisela D. Triana,454
hidalgo:17,LIB,Tom Oxford,12
hidalgo:17,REP,Brett Busby,190
hidalgo:171,DEM,Gisela D. Triana,7
hidalgo:171,LIB,Tom Oxford,0
hidalgo:171,REP,Brett Busby,2
hidalgo:174,DEM,Gisela D. Triana,280
hidalgo:174,LIB,Tom Oxford,16
hidalgo:174,REP,Brett Busby,122
hidalgo:175,DEM,Gisela D. Triana,414
hidalgo:175,LIB,Tom Oxford,13
hidalgo:175,REP,Brett Busby,203
hidalgo:179,DEM,Gisela D. Triana,134
hidalgo:179,LIB,Tom Oxford,4
hidalgo:179,REP,Brett Busby,62
hidalgo:186,DEM,Gisela D. Triana,74
hidalgo:186,LIB,Tom Oxford,4
hidalgo:186,REP,Brett Busby,20
hidalgo:189,DEM,Gisela D. Triana,453
hidalgo:189,LIB,Tom Oxford,35
hidalgo:189,REP,Brett Busby,212
hidalgo:190,DEM,Gisela D. Triana,149
hidalgo:190,LIB,Tom Oxford,4
hidalgo:190,REP,Brett Busby,117
hidalgo:191,DEM,Gisela D. Triana,164
hidalgo:191,LIB,Tom Oxford,8
hidalgo:191,REP,Brett Busby,112
hidalgo:192,DEM,Gisela D. Triana,143
hidalgo:192,LIB,Tom Oxford,8
hidalgo:192,REP,Brett Busby,92
hidalgo:196,DEM,Gisela D. Triana,278
hidalgo:196,LIB,Tom Oxford,11
hidalgo:196,REP,Brett Busby,215
hidalgo:2,DEM,Gisela D. Triana,569
hidalgo:2,LIB,Tom Oxford,13
hidalgo:2,REP,Brett Busby,409
hidalgo:202,DEM,Gisela D. Triana,229
hidalgo:202,LIB,Tom Oxford,4
hidalgo:202,REP,Brett Busby,301
hidalgo:21,DEM,Gisela D. Triana,148
hidalgo:21,LIB,Tom Oxford,2
hidalgo:21,REP,Brett Busby,81
hidalgo:213,DEM,Gisela D. Triana,60
hidalgo:213,LIB,Tom Oxford,2
hidalgo:213,REP,Brett Busby,32
hidalgo:22,DEM,Gisela D. Triana,220
hidalgo:22,LIB,Tom Oxford,16
hidalgo:22,REP,Brett Busby,96
hidalgo:225,DEM,Gisela D. Triana,103
hidalgo:225,LIB,Tom Oxford,5
hidalgo:225,REP,Brett Busby,38
hidalgo:23,DEM,Gisela D. Triana,656
hidalgo:23,LIB,Tom Oxford,21
hidalgo:23,REP,Brett Busby,293
hidalgo:232,DEM,Gisela D. Triana,389
hidalgo:232,LIB,Tom Oxford,21
hidalgo:232,REP,Brett Busby,179
hidalgo:235,DEM,Gisela D. Triana,86
hidalgo:235,LIB,Tom Oxford,2
hidalgo:235,REP,Brett Busby,91
hidalgo:237,DEM,Gisela D. Triana,286
hidalgo:237,LIB,Tom Oxford,8
hidalgo:237,REP,Brett Busby,126
hidalgo:238,DEM,Gisela D. Triana,38
hidalgo:238,LIB,Tom Oxford,3
hidalgo:238,REP,Brett Busby,42
hidalgo:242,DEM,Gisela D. Triana,9
hidalgo:242,LIB,Tom Oxford,0
hidalgo:242,REP,Brett Busby,9
hidalgo:245,DEM,Gisela D. Triana,94
hidalgo:245,LIB,Tom Oxford,6
hidalgo:245,REP,Brett Busby,45
hidalgo:249,DEM,Gisela D. Triana,138
hidalgo:249,LIB,Tom Oxford,7
hidalgo:249,REP,Brett Busby,75
hidalgo:250,DEM,Gisela D. Triana,50
hidalgo:250,LIB,Tom Oxford,2
hidalgo:250,REP,Brett Busby,15
hidalgo:251,DEM,Gisela D. Triana,4
hidalgo:251,LIB,Tom Oxford,0
hidalgo:251,REP,Brett Busby,1
hidalgo:253,DEM,Gisela D. Triana,140
hidalgo:253,LIB,Tom Oxford,6
hidalgo:253,REP,Brett Busby,75
hidalgo:3,DEM,Gisela D. Triana,366
hidalgo:3,LIB,Tom Oxford,15
hidalgo:3,REP,Brett Busby,131
hidalgo:32,DEM,Gisela D. Triana,815
hidalgo:32,LIB,Tom Oxford,40
hidalgo:32,REP,Brett Busby,386
hidalgo:36,DEM,Gisela D. Triana,1165
hidalgo:36,LIB,Tom Oxford,42
hidalgo:36,REP,Brett Busby,508
hidalgo:39,DEM,Gisela D. Triana,699
hidalgo:39,LIB,Tom Oxford,30
hidalgo:39,REP,Brett Busby,260
hidalgo:4,DEM,Gisela D. Triana,1759
hidalgo:4,LIB,Tom Oxford,58
hidalgo:4,REP,Brett Busby,777
hidalgo:40,DEM,Gisela D. Triana,718
hidalgo:40,LIB,Tom Oxford,33
hidalgo:40,REP,Brett Busby,305
hidalgo:41,DEM,Gisela D. Triana,1017
hidalgo:41,LIB,Tom Oxford,42
hidalgo:41,REP,Brett Busby,431
hidalgo:42,DEM,Gisela D. Triana,997
hidalgo:42,LIB,Tom Oxford,37
hidalgo:42,REP,Brett Busby,621
hidalgo:43,DEM,Gisela D. Triana,1444
hidalgo:43,LIB,Tom Oxford,62
hidalgo:43,REP,Brett Busby,834
hidalgo:44,DEM,Gisela D. Triana,316
hidalgo:44,LIB,Tom Oxford,15
hidalgo:44,REP,Brett Busby,138
hidalgo:45,DEM,Gisela D. Triana,479
hidalgo:45,LIB,Tom Oxford,13
hidalgo:45,REP,Brett Busby,363
hidalgo:46,DEM,Gisela D. Triana,116
hidalgo:46,LIB,Tom Oxford,7
hidalgo:46,REP,Brett Busby,67
hidalgo:53,DEM,Gisela D. Triana,1886
hidalgo:53,LIB,Tom Oxford,79
hidalgo:53,REP,Brett Busby,1162
hidalgo:55,DEM,Gisela D. Triana,755
hidalgo:55,LIB,Tom Oxford,44
hidalgo:55,REP,Brett Busby,346
hidalgo:56,DEM,Gisela D. Triana,867
hidalgo:56,LIB,Tom Oxford,37
hidalgo:56,REP,Brett Busby,350
hidalgo:57,DEM,Gisela D. Triana,262
hidalgo:57,LIB,Tom Oxford,13
hidalgo:57,REP,Brett Busby,124
hidalgo:58,DEM,Gisela D. Triana,1075
hidalgo:58,LIB,Tom Oxford,51
hidalgo:58,REP,Brett Busby,638
hidalgo:59,DEM,Gisela D. Triana,747
hidalgo:59,LIB,Tom Oxford,41
hidalgo:59,REP,Brett Busby,351
hidalgo:60,DEM,Gisela D. Triana,1015
hidalgo:60,LIB,Tom Oxford,37
hidalgo:60,REP,Brett Busby,616
hidalgo:70,DEM,Gisela D. Triana,514
hidalgo:70,LIB,Tom Oxford,24
hidalgo:70,REP,Brett Busby,272
hidalgo:71,DEM,Gisela D. Triana,52
hidalgo:71,LIB,Tom Oxford,1
hidalgo:71,REP,Brett Busby,24
hidalgo:77,DEM,Gisela D. Triana,630
hidalgo:77,LIB,Tom Oxford,19
hidalgo:77,REP,Brett Busby,350
hidalgo:79,DEM,Gisela D. Triana,420
hidalgo:79,LIB,Tom Oxford,10
hidalgo:79,REP,Brett Busby,164
hidalgo:85,DEM,Gisela D. Triana,1137
hidalgo:85,LIB,Tom Oxford,64
hidalgo:85,REP,Brett Busby,510
hidalgo:87,DEM,Gisela D. Triana,1123
hidalgo:87,LIB,Tom Oxford,53
hidalgo:87,REP,Brett Busby,569
hidalgo:90,DEM,Gisela D. Triana,1448
hidalgo:90,LIB,Tom Oxford,38
hidalgo:90,REP,Brett Busby,417
hidalgo:91,DEM,Gisela D. Triana,294
hidalgo:91,LIB,Tom Oxford,18
hidalgo:91,REP,Brett Busby,184
kleberg:11,DEM,Gisela D. Triana,501
kleberg:11,LIB,Tom Oxford,38
kleberg:11,REP,Brett Busby,696
kleberg:12,DEM,Gisela D. Triana,323
kleberg:12,LIB,Tom Oxford,20
kleberg:12,REP,Brett Busby,547
kleberg:13,DEM,Gisela D. Triana,458
kleberg:13,LIB,Tom Oxford,7
kleberg:13,REP,Brett Busby,346
kleberg:14,DEM,Gisela D. Triana,148
kleberg:14,LIB,Tom Oxford,3
kleberg:14,REP,Brett Busby,115
kleberg:21,DEM,Gisela D. Triana,129
kleberg:21,LIB,Tom Oxford,6
kleberg:21,REP,Brett Busby,44
kleberg:22,DEM,Gisela D. Triana,257
kleberg:22,LIB,Tom Oxford,9
kleberg:22,REP,Brett Busby,248
kleberg:23,DEM,Gisela D. Triana,393
kleberg:23,LIB,Tom Oxford,16
kleberg:23,REP,Brett Busby,251
kleberg:24,DEM,Gisela D. Triana,372
kleberg:24,LIB,Tom Oxford,18
kleberg:24,REP,Brett Busby,313
kleberg:31,DEM,Gisela D. Triana,368
kleberg:31,LIB,Tom Oxford,19
kleberg:31,REP,Brett Busby,495
kleberg:32,DEM,Gisela D. Triana,340
kleberg:32,LIB,Tom Oxford,16
kleberg:32,REP,Brett Busby,318
kleberg:33,DEM,Gisela D. Triana,150
kleberg:33,LIB,Tom Oxford,8
kleberg:33,REP,Brett Busby,298
kleberg:34,DEM,Gisela D. Triana,125
kleberg:34,LIB,Tom Oxford,6
kleberg:34,REP,Brett Busby,249
kleberg:35,DEM,Gisela D. Triana,262
kleberg:35,LIB,Tom Oxford,11
kleberg:35,REP,Brett Busby,389
kleberg:41,DEM,Gisela D. Triana,176
kleberg:41,LIB,Tom Oxford,3
kleberg:41,REP,Brett Busby,77
kleberg:42,DEM,Gisela D. Triana,280
kleberg:42,LIB,Tom Oxford,13
kleberg:42,REP,Brett Busby,118
kleberg:43,DEM,Gisela D. Triana,468
kleberg:43,LIB,Tom Oxford,26
kleberg:43,REP,Brett Busby,349
kleberg:44,DEM,Gisela D. Triana,182
kleberg:44,LIB,Tom Oxford,8
kleberg:44,REP,Brett Busby,97
kleberg:45,DEM,Gisela D. Triana,315
kleberg:45,LIB,Tom Oxford,11
kleberg:45,REP,Brett Busby,108
willacy:1,DEM,Gisela D. Triana,428
willacy:1,LIB,Tom Oxford,21
willacy:1,REP,Brett Busby,210
willacy:10,DEM,Gisela D. Triana,40
willacy:10,LIB,Tom Oxford,8
willacy:10,REP,Brett Busby,175
willacy:11,DEM,Gisela D. Triana,163
willacy:11,LIB,Tom Oxford,11
willacy:11,REP,Brett Busby,140
willacy:12,DEM,Gisela D. Triana,27
willacy:12,LIB,Tom Oxford,0
willacy:12,REP,Brett Busby,16
willacy:2,DEM,Gisela D. Triana,460
willacy:2,LIB,Tom Oxford,19
willacy:2,REP,Brett Busby,226
willacy:3,DEM,Gisela D. Triana,253
willacy:3,LIB,Tom Oxford,12
willacy:3,REP,Brett Busby,193
willacy:4,DEM,Gisela D. Triana,467
willacy:4,LIB,Tom Oxford,27
willacy:4,REP,Brett Busby,255
willacy:5,DEM,Gisela D. Triana,228
willacy:5,LIB,Tom Oxford,10
willacy:5,REP,Brett Busby,109
willacy:6,DEM,Gisela D. Triana,130
willacy:6,LIB,Tom Oxford,1
willacy:6,REP,Brett Busby,92
willacy:7,DEM,Gisela D. Triana,319
willacy:7,LIB,Tom Oxford,19
willacy:7,REP,Brett Busby,179
willacy:8,DEM,Gisela D. Triana,227
willacy:8,LIB,Tom Oxford,17
willacy:8,REP,Brett Busby,116
willacy:9,DEM,Gisela D. Triana,257
willacy:9,LIB,Tom Oxford,10
willacy:9,REP,Brett Busby,143
