precinct,party,candidate,votes
travis:107,DEM,Elizabeth Davis Frizell,138
travis:107,REP,Bert Richardson,193
travis:110,DEM,Elizabeth Davis Frizell,4050
travis:110,REP,Bert Richardson,1952
travis:137,DEM,Elizabeth Davis Frizell,5751
travis:137,REP,Bert Richardson,3978
travis:145,DEM,Elizabeth Davis Frizell,1400
travis:145,REP,Bert Richardson,572
travis:148,DEM,Elizabeth Davis Frizell,2465
travis:148,REP,Bert Richardson,1092
travis:150,DEM,Elizabeth Davis Frizell,869
travis:150,REP,Bert Richardson,813
travis:161,DEM,Elizabeth Davis Frizell,1095
travis:161,REP,Bert Richardson,539
travis:163,DEM,Elizabeth Davis Frizell,109
travis:163,REP,Bert Richardson,186
travis:219,DEM,Elizabeth Davis Frizell,1620
travis:219,REP,Bert Richardson,821
trinity:1,DEM,Elizabeth Davis Frizell,76
trinity:1,REP,Bert Richardson,367
trinity:10,DEM,Elizabeth Davis Frizell,15
trinity:10,REP,Bert Richardson,207
trinity:11,DEM,Elizabeth Davis Frizell,206
trinity:11,REP,Bert Richardson,1062
trinity:12,DEM,Elizabeth Davis Frizell,19
trinity:12,REP,Bert Richardson,68
trinity:14,DEM,Elizabeth Davis Frizell,72
trinity:14,REP,Bert Richardson,334
trinity:15,DEM,Elizabeth Davis Frizell,9
trinity:15,REP,Bert Richardson,72
trinity:16,DEM,Elizabeth Davis Frizell,84
trinity:16,REP,Bert Richardson,239
trinity:17,DEM,Elizabeth Davis Frizell,273
trinity:17,REP,Bert Richardson,89
trinity:18,DEM,Elizabeth Davis Frizell,48
trinity:18,REP,Bert Richardson,16
trinity:19,DEM,Elizabeth Davis Frizell,172
trinity:19,REP,Bert Richardson,714
trinity:2,DEM,Elizabeth Davis Frizell,60
trinity:2,REP,Bert Richardson,475
trinity:20,DEM,Elizabeth Davis Frizell,14
trinity:20,REP,Bert Richardson,39
trinity:21,DEM,Elizabeth Davis Frizell,42
trinity:21,REP,Bert Richardson,218
trinity:3,DEM,Elizabeth Davis Frizell,40
trinity:3,REP,Bert Richardson,265
trinity:4,DEM,Elizabeth Davis Frizell,22
trinity:4,REP,Bert Richardson,186
trinity:5,DEM,Elizabeth Davis Frizell,37
trinity:5,REP,Bert Richardson,115
trinity:6,DEM,Elizabeth Davis Frizell,12
trinity:6,REP,Bert Richardson,139
trinity:7,DEM,Elizabeth Davis Frizell,14
trinity:7,REP,Bert Richardson,143
trinity:8,DEM,Elizabeth Davis Frizell,16
trinity:8,REP,Bert Richardson,288
trinity:9,DEM,Elizabeth Davis Frizell,41
trinity:9,REP,Bert Richardson,379
