COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Brianna Chacon,Eugene Escobar Jr.,Keith Schmitt,Madelyn Awalt,Sabrena Johnson,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,2,PCT 002,4987,2989,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,3,PCT 003,2976,1371,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,4,PCT 004,3793,2858,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,5,PCT 005,1043,733,3,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,6,PCT 006,1650,1109,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,7,PCT 007,1580,1035,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,8,PCT 008,4685,3105,0,51,38,24,5,5,0,44,Brianna Chacon,Brianna
COLL,9,PCT 009,3563,2363,1,575,360,291,83,130,0,453,Brianna Chacon,Brianna
COLL,10,PCT 010,997,715,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,11,PCT 011,4854,3314,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,12,PCT 012,2195,1618,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,13,PCT 013,2981,2319,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,14,PCT 014,3407,2279,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,15,PCT 015,1670,981,3,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,16,PCT 016,2517,1840,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,17,PCT 017,4072,2717,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,18,PCT 018,1088,731,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,19,PCT 019,1611,1208,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,20,PCT 020,2184,1684,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,21,PCT 021,4375,3105,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,22,PCT 022,4553,3315,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,23,PCT 023,3580,1874,3,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,24,PCT 024,2229,1201,11,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,25,PCT 025,4119,2900,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,26,PCT 026,1280,739,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,27,PCT 027,2812,1880,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,28,PCT 028,3641,2445,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,29,PCT 029,3332,2504,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,30,PCT 030,1024,704,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,31,PCT 031,2067,1577,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,32,PCT 032,2504,1865,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,33,PCT 033,3396,2414,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,34,PCT 034,4401,3041,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,35,PCT 035,1861,1293,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,36,PCT 036,1966,1503,14,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,37,PCT 037,2779,1966,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,38,PCT 038,3899,2387,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,39,PCT 039,3035,1905,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,40,PCT 040,3639,2556,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,41,PCT 041,1869,1386,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,42,PCT 042,2302,1548,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,43,PCT 043,3543,2121,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,44,PCT 044,1697,924,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,45,PCT 045,3501,2475,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,46,PCT 046,3182,1797,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,47,PCT 047,2634,1822,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,48,PCT 048,3837,2712,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,49,PCT 049,2425,1806,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,50,PCT 050,3289,1773,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,51,PCT 051,1854,1006,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,52,PCT 052,4768,2909,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,53,PCT 053,2224,1662,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,54,PCT 054,3726,2254,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,55,PCT 055,4272,2791,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,56,PCT 056,3558,2429,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,57,PCT 057,1581,1035,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,58,PCT 058,3671,2397,3,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,59,PCT 059,4034,2725,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,60,PCT 060,3282,2489,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,61,PCT 061,1688,1214,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,62,PCT 062,2524,1721,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,63,PCT 063,2074,1604,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,64,PCT 064,2695,1840,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,65,PCT 065,1249,847,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,66,PCT 066,2197,1497,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,67,PCT 067,3003,1995,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,68,PCT 068,2042,1285,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,69,PCT 069,3878,2831,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,70,PCT 070,1912,1416,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,71,PCT 071,1812,1314,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,72,PCT 072,1732,1249,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,73,PCT 073,1936,1122,6,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,74,PCT 074,1988,1373,9,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,75,PCT 075,2381,1701,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,76,PCT 076,3331,2363,4,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,77,PCT 077,3677,2432,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,78,PCT 078,4899,3053,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,79,PCT 079,2773,1660,17,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,80,PCT 080,3657,2509,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,81,PCT 081,2973,2031,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,82,PCT 082,3005,1870,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,83,PCT 083,4265,2914,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,84,PCT 084,2541,1705,11,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,85,PCT 085,3423,2301,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,86,PCT 086,3050,2194,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,87,PCT 087,3486,2531,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,88,PCT 088,1661,726,7,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,89,PCT 089,3267,2264,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,90,PCT 090,3268,2400,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,91,PCT 091,2325,1659,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,92,PCT 092,4619,2877,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,93,PCT 093,297,222,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,94,PCT 094,4318,3088,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,95,PCT 095,3171,2237,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,96,PCT 096,1509,782,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,97,PCT 097,1344,1070,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,98,PCT 098,1618,1019,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,99,PCT 099,403,257,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,100,PCT 100,1545,1024,0,17,13,8,2,2,0,15,Brianna Chacon,Brianna
COLL,101,PCT 101,4300,2865,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,102,PCT 102,2555,1957,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,103,PCT 103,1419,810,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,104,PCT 104,2426,1167,4,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,105,PCT 105,173,115,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,106,PCT 106,1869,1255,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,107,PCT 107,3373,2417,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,108,PCT 108,2997,2047,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,109,PCT 109,4859,3312,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,110,PCT 110,2816,1947,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,111,PCT 111,3096,2183,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,112,PCT 112,3166,2322,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,113,PCT 113,3351,2087,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,114,PCT 114,4252,3062,0,653,329,252,72,100,0,373,Brianna Chacon,Brianna
COLL,115,PCT 115,2995,2123,15,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,116,PCT 116,5006,3553,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,117,PCT 117,4426,2934,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,118,PCT 118,4297,2996,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,119,PCT 119,2398,1696,2,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,120,PCT 120,3653,2693,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,121,PCT 121,2892,1952,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,122,PCT 122,4972,3708,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,123,PCT 123,2078,1458,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,124,PCT 124,3288,2171,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,125,PCT 125,2250,1532,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,126,PCT 126,4969,3443,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,127,PCT 127,3929,2671,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,128,PCT 128,3137,2395,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,129,PCT 129,4643,3072,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,130,PCT 130,3972,2813,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,131,PCT 131,3151,2136,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,132,PCT 132,2874,2016,6,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,133,PCT 133,2939,1791,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,134,PCT 134,4149,2771,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,135,PCT 135,4286,2900,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,136,PCT 136,1978,1427,10,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,137,PCT 137,2004,1418,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,138,PCT 138,2349,1774,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,139,PCT 139,4130,2721,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,140,PCT 140,4848,3591,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,141,PCT 141,3514,2511,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,142,PCT 142,2797,2040,17,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,143,PCT 143,2165,1543,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,144,PCT 144,2956,2072,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,145,PCT 145,1780,1237,1,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,146,PCT 146,4860,3233,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,147,PCT 147,2281,1409,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,148,PCT 148,1133,851,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,149,PCT 149,4656,3337,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,150,PCT 150,2024,1621,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,151,PCT 151,1856,1296,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,152,PCT 152,231,119,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
COLL,153,PCT 153,1225,860,0,0,0,0,0,0,0,0,Brianna Chacon,Brianna
