COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Against,For,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,173,PCT 173,613,197,0,0,0,0,0,Against,Against
COLLI,174,PCT 174,4506,259,0,0,0,0,0,Against,Against
COLLI,175,PCT 175,2045,246,0,0,0,0,0,Against,Against
COLLI,176,PCT 176,3706,122,0,0,0,0,0,Against,Against
COLLI,177,PCT 177,3447,229,0,0,0,0,0,Against,Against
COLLI,178,PCT 178,3314,294,0,0,0,0,0,Against,Against
COLLI,179,PCT 179,4574,1059,0,0,0,0,0,Against,Against
COLLI,180,PCT 180,3435,336,0,0,0,0,0,Against,Against
COLLI,181,PCT 181,3214,152,0,0,0,0,0,Against,Against
COLLI,182,PCT 182,3888,157,0,0,0,0,0,Against,Against
COLLI,183,PCT 183,0,0,0,0,0,0,0,Against,Against
COLLI,184,PCT 184,3132,123,0,0,0,0,0,Against,Against
COLLI,185,PCT 185,3395,365,0,0,0,0,0,Against,Against
COLLI,186,PCT 186,753,104,0,0,0,0,0,Against,Against
COLLI,187,PCT 187,1075,65,0,0,0,0,0,Against,Against
COLLI,188,PCT 188,753,46,0,0,0,0,0,Against,Against
COLLI,189,PCT 189,1592,21,0,0,0,0,0,Against,Against
COLLI,190,PCT 190,1023,102,0,0,0,0,0,Against,Against
COLLI,191,PCT 191,0,0,0,0,0,0,0,Against,Against
COLLI,192,PCT 192,4396,78,0,0,0,0,0,Against,Against
COLLI,193,PCT 193,1311,44,0,4,12,0,0,For,For
COLLI,194,PCT 194,3631,165,0,24,87,0,2,For,For
COLLI,195,PCT 195,887,106,0,0,0,0,0,Against,Against
COLLI,196,PCT 196,1945,160,0,0,0,0,0,Against,Against
COLLI,197,PCT 197,1239,117,0,0,0,0,0,Against,Against
COLLI,198,PCT 198,3266,194,0,0,0,0,0,Against,Against
COLLI,199,PCT 199,4140,397,0,0,0,0,0,Against,Against
COLLI,200,PCT 200,2919,352,0,0,0,0,0,Against,Against
COLLI,201,PCT 201,0,0,0,0,0,0,0,Against,Against
COLLI,202,PCT 202,0,0,0,0,0,0,0,Against,Against
COLLI,203,PCT 203,3026,680,0,0,0,0,0,Against,Against
COLLI,204,PCT 204,344,95,0,0,0,0,0,Against,Against
COLLI,205,PCT 205,4039,537,0,0,0,0,0,Against,Against
COLLI,206,PCT 206,1921,314,0,0,0,0,0,Against,Against
COLLI,207,PCT 207,3918,535,0,0,0,0,0,Against,Against
COLLI,208,PCT 208,4399,523,0,0,0,0,0,Against,Against
COLLI,209,PCT 209,164,18,0,0,0,0,0,Against,Against
COLLI,210,PCT 210,1722,485,0,0,0,0,0,Against,Against
COLLI,211,PCT 211,3321,492,0,0,0,0,0,Against,Against
COLLI,212,PCT 212,2580,492,0,0,0,0,0,Against,Against
COLLI,213,PCT 213,3574,420,0,0,0,0,0,Against,Against
COLLI,214,PCT 214,3720,369,0,0,0,0,0,Against,Against
COLLI,215,PCT 215,3591,22,0,0,0,0,0,Against,Against
COLLI,216,PCT 216,4794,794,0,0,0,0,0,Against,Against
COLLI,217,PCT 217,3075,197,0,0,0,0,0,Against,Against
COLLI,218,PCT 218,4195,142,0,0,0,0,0,Against,Against
COLLI,219,PCT 219,4482,193,0,0,0,0,0,Against,Against
COLLI,220,PCT 220,2490,382,0,0,0,0,0,Against,Against
COLLI,221,PCT 221,1976,374,0,0,0,0,0,Against,Against
COLLI,222,PCT 222,3875,209,0,0,0,0,0,Against,Against
COLLI,223,PCT 223,2490,121,0,0,0,0,0,Against,Against
COLLI,224,PCT 224,3284,289,0,0,0,0,0,Against,Against
COLLI,225,PCT 225,3829,651,0,0,0,0,0,Against,Against
COLLI,226,PCT 226,4259,482,0,0,0,0,0,Against,Against
COLLI,227,PCT 227,4356,223,0,0,0,0,0,Against,Against
COLLI,228,PCT 228,4763,24,0,0,0,0,0,Against,Against
COLLI,229,PCT 229,2313,202,0,0,0,0,0,Against,Against
COLLI,230,PCT 230,4713,387,0,0,0,0,0,Against,Against
COLLI,231,PCT 231,4150,621,0,0,0,0,0,Against,Against
COLLI,232,PCT 232,3810,198,0,0,0,0,0,Against,Against
COLLI,233,PCT 233,2065,96,0,0,0,0,0,Against,Against
COLLI,234,PCT 234,3403,620,0,0,0,0,0,Against,Against
COLLI,235,PCT 235,1903,202,0,0,0,0,0,Against,Against
COLLI,236,PCT 236,2898,632,0,0,0,0,0,Against,Against
COLLI,237,PCT 237,2314,165,0,0,0,0,0,Against,Against
COLLI,238,PCT 238,3858,328,0,0,0,0,0,Against,Against
COLLI,239,PCT 239,4102,371,0,0,0,0,0,Against,Against
COLLI,240,PCT 240,4435,430,0,0,0,0,0,Against,Against
COLLI,241,PCT 241,1502,324,0,0,0,0,0,Against,Against
COLLI,242,PCT 242,3455,471,0,0,0,0,0,Against,Against
COLLI,243,PCT 243,1642,232,0,0,0,0,0,Against,Against
COLLI,244,PCT 244,3131,497,0,0,0,0,0,Against,Against
COLLI,245,PCT 245,2585,173,0,0,0,0,0,Against,Against
COLLI,246,PCT 246,2768,449,0,0,0,0,0,Against,Against
COLLI,247,PCT 247,2408,495,0,0,0,0,0,Against,Against
COLLI,248,PCT 248,2261,194,0,0,0,0,0,Against,Against
COLLI,249,PCT 249,4715,350,0,0,0,0,0,Against,Against
COLLI,250,PCT 250,3969,1133,0,0,0,0,0,Against,Against
COLLI,251,PCT 251,2530,324,0,0,0,0,0,Against,Against
COLLI,252,PCT 252,3197,338,0,0,0,0,0,Against,Against
COLLI,253,PCT 253,3144,483,0,0,0,0,0,Against,Against
COLLI,254,PCT 254,1264,6,0,0,0,0,0,Against,Against
COLLI,255,PCT 255,3322,479,0,0,0,0,0,Against,Against
COLLI,256,PCT 256,820,14,0,0,0,0,0,Against,Against
COLLI,257,PCT 257,1423,12,0,0,0,0,0,Against,Against
COLLI,258,PCT 258,2948,431,0,0,0,0,0,Against,Against
COLLI,259,PCT 259,3591,524,0,0,0,0,0,Against,Against
COLLI,260,PCT 260,447,78,0,0,0,0,0,Against,Against
COLLI,261,PCT 261,3101,588,0,0,0,0,0,Against,Against
COLLI,262,PCT 262,2918,289,0,0,0,0,0,Against,Against
COLLI,263,PCT 263,2113,215,0,0,0,0,0,Against,Against
COLLI,264,PCT 264,3853,625,0,0,0,0,0,Against,Against
COLLI,265,PCT 265,0,0,0,0,0,0,0,Against,Against
COLLI,266,PCT 266,60,8,0,0,0,0,0,Against,Against
COLLI,267,PCT 267,19,2,0,0,0,0,0,Against,Against
COLLI,268,PCT 268,0,0,0,0,0,0,0,Against,Against
COLLI,269,PCT 269,0,0,0,0,0,0,0,Against,Against
COLLI,270,PCT 270,2,0,0,0,0,0,0,Against,Against
COLLI,271,PCT 271,985,106,0,0,0,0,0,Against,Against
COLLI,272,PCT 272,1,0,0,0,0,0,0,Against,Against
COLLI,273,PCT 273,271,17,0,0,0,0,0,Against,Against
